
Pro Inside global      Inside local       Outside local      Outside global
tcp 172.25.40.31:51074 172.20.43.216:51074 23.223.69.92:443  23.223.69.92:443
tcp 172.25.40.31:51091 172.20.43.216:51091 23.223.69.92:443  23.223.69.92:443
udp 172.25.40.31:64024 172.20.43.227:64024 172.25.40.52:53   172.25.40.52:53
tcp 172.25.40.31:49888 172.20.43.209:49888 54.68.227.204:443 54.68.227.204:443
tcp 172.25.40.31:50468 172.20.43.216:50468 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50469 172.20.43.216:50469 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50470 172.20.43.216:50470 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50471 172.20.43.216:50471 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50472 172.20.43.216:50472 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50473 172.20.43.216:50473 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50484 172.20.43.216:50484 23.223.65.91:80   23.223.65.91:80
tcp 172.25.40.31:50495 172.20.43.216:50495 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50496 172.20.43.216:50496 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50507 172.20.43.216:50507 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50969 172.20.43.216:50969 169.47.30.64:80   169.47.30.64:80
tcp 172.25.40.31:50508 172.20.43.216:50508 104.25.25.35:80   104.25.25.35:80
tcp 172.25.40.31:50970 172.20.43.216:50970 169.47.30.64:80   169.47.30.64:80
tcp 172.25.40.31:50971 172.20.43.216:50971 169.47.30.64:80   169.47.30.64:80
tcp 172.25.40.31:49902 10.1.0.17:49902    72.247.209.58:443  72.247.209.58:443
tcp 172.25.40.31:50972 172.20.43.216:50972 169.47.30.64:80   169.47.30.64:80
tcp 172.25.40.31:49908 172.20.43.207:49908 72.247.209.58:443 72.247.209.58:443
tcp 172.25.40.31:50416 172.20.43.227:50416 54.239.33.86:443  54.239.33.86:443
tcp 172.25.40.31:50421 172.20.43.227:50421 54.239.33.86:443  54.239.33.86:443
tcp 172.25.40.31:50763 172.20.43.216:50763 151.101.16.249:80 151.101.16.249:80
udp 172.25.40.31:52293 172.20.43.215:52293 193.145.233.5:53  193.145.233.5:53
